Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
SEPTOPLASTIA +TURBINECTOMIA	 4.667,45 	 10.312,53 	 2.755,35 	 6.764,49 	 818,90 	 1.596,59 	 8.241,70 	 18.673,62 	 21.428,97 
SEPTOPLASTIA+ TURBINECTOMIA + TUBO DE VENTILAÇÃO	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
SEQUESTRECTOMIA	 136,52 	 496,58 	 271,03 	 491,96 			 407,55 	 988,54 	 1.259,57 
SERRA DOREA	 1.633,01 	 3.017,16 	 362,38 	 804,57 	 225,86 	 308,00 	 2.221,25 	 4.129,73 	 4.492,11 
SESSAO DE ESCLEROTERAPIA DE TRIBUTARIAS EM FACE POSTERIOR			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
SESSAO DE ESCLEROTERAPIA DE TRIBUTARIAS EM MID 	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
SETORECTOMIA	 4.778,13 	 9.840,43 	 850,31 	 1.418,79 	 272,97 	 532,20 	 5.901,41 	 11.791,43 	 12.641,73 
SETORECTOMIA 	 678,58 	 1.480,50 	 271,03 	 491,96 			 949,62 	 1.972,47 	 2.243,50 
SETORECTOMIA / QUADRANTECTOMIA +BLS			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
SIGMOIDECTOMIA + RETOPEXIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SIMPATECTOMIA 	 3.161,89 	 7.968,10 	 2.136,70 	 4.494,33 			 5.298,59 	 12.462,43 	 14.599,13 
SINEQUIAS DE VULVA 	 484,80 	 1.218,38 	 771,80 	 1.372,39 	 272,97 	 532,20 	 1.529,57 	 3.122,97 	 3.894,77 
SINUSECTOMIA	 8.649,63 	 17.070,45 	 2.041,77 	 5.212,83 	 272,97 	 532,20 	 10.964,36 	 22.815,48 	 24.857,25 
SINUSECTOMIA + AMIGDALECTOMIA			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
SINUSECTOMIA + SEPTOPLASTIA	 818,90 	 1.596,59 	 272,97 	 532,20 	 272,97 	 532,20 	 1.364,84 	 2.660,98 	 2.933,95 
SINUSECTOMIA + SEPTOPLASTIA + TURBINECTOMIA 	 1.602,30 	 2.840,42 	 489,93 	 1.115,41 			 2.092,23 	 3.955,83 	 4.445,76 
SINUSOTOMIA	 4.477,23 	 10.168,88 	 1.233,65 	 3.166,90 	 272,97 	 532,20 	 5.983,85 	 13.867,98 	 15.101,63 
SINUSOTOMIA + TURBINECTOMIA	 1.166,51 	 2.094,73 					 1.166,51 	 2.094,73 	 2.094,73 
SINUSOTOMIA + TURBINECTOMIA + ADENOIDECTOMIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
TENDINOPATIA DO SUPRA-ESPINHAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
THAL HATAFUKU	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
TIMECTOMIA TRANSESTERNAL 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
TIMPANOPLASTRIA	 11.470,55 	 23.655,69 	 10.844,94 	 22.820,96 	 1.910,77 	 3.725,38 	 24.226,27 	 50.202,03 	 61.046,97 
TORACOTOMIA COM DRENAGEM PLEURAL	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
TRANSFERÊNCIA MIOTENDINOSA MÚLTIPLA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
TRANSPOSIÇÃO DO NERVO CUBITAL 	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
TRANSPOSIÇÃO MIOTENDINOSA	 544,00 	 1.024,16 					 544,00 	 1.024,16 	 1.024,16 
TRAQUELECTOMIA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
TRAQUEOPLASTIA	 1.960,42 	 3.719,78 	 271,03 	 491,96 			 2.231,45 	 4.211,74 	 4.482,78 
TRAQUEOSCOPIA	 407,55 	 988,54 	 353,41 	 618,83 			 760,96 	 1.607,37 	 1.960,78 
TRAQUEOSTOMIA	 708,73 	 1.486,15 	 524,03 	 1.917,20 			 1.232,77 	 3.403,35 	 3.927,39 
TRAQUEOSTOMIA 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
TRATAMENTO CIRURGICO DE MACRODACTILIA E DEDO BIFIDO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
TRATAMENTO CIRÚRGICO DE UNHA ENCRAVADA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
TRATAMENTO CIRÚRGICO LESÃO MENISCAL JOELHO DIREITO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
TRATAMENTO CIRURGICO MAMA HIPERTROFICA 					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
TRATAMENTO CIRURGICO NAO ESTETICO DA ORELHA	 4.205,16 	 9.754,30 	 348,35 	 1.182,76 			 4.553,51 	 10.937,06 	 11.285,42 
TRATAMENTO CIRURGICO NÃO ESTÉTICO DE ORELHA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
TRATAMENTO CIRÚRGICO NÃO-ESTÉTICO DA ORELHA 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
TRATAMENTO DE DERMATOCALAZI			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
TRATAMENTO DE LESAO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUIMICOS	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
TRATAMENTO DE VEIA SAFENA MAGNA ESQUERDA PELA TECNICA DE ESPUMA 			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
TRATAMENTO ODONTOLÓGICO PARA PACIENTES  COM NECESSIDADES ESPECIAIS	 1.271,02 	 4.117,12 					 1.271,02 	 4.117,12 	 4.117,12 
TRATAMENTO ODONTOLOGICO RESTAURADOR E CIRURGICO	 2.626,18 	 6.576,95 	 772,02 	 2.555,14 			 3.398,21 	 9.132,08 	 9.904,11 
TREINAMENTO	 1.176,49 	 2.225,14 			 955,62 	 3.476,03 	 2.132,10 	 5.701,17 	 5.701,17 
TROCA DE CANULA DE TRAQUEOSTOMIA +BRONCOSCOPIA	 975,63 	 2.165,88 					 975,63 	 2.165,88 	 2.165,88 
TROCA DE CANULA DE TRAQUEOSTOMO	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
TROCA DE DRENO TORACICO	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
TROCA DE TQT 	 565,25 	 1.305,02 	 673,56 	 1.904,72 	 225,86 	 308,00 	 1.464,67 	 3.517,74 	 4.191,30 
TTO CIRURGICO NÃO ESTETICO DA ORELHA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
TTO DE LESÃO PIGMENTADA EM RAIZ NASAL					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
TTO DE MAL FORMAÇÕES CONGENITAS DO SISTEMA OSTEOMUSCULAR			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
TTO ODONTOLÓGICO PARA PACIENTES ESPECIAIS	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
TTO ODONTOLÓGICO RESTAURADOR E CIRÚRGICO 	 1.413,21 	 2.770,28 	 271,03 	 491,96 			 1.684,25 	 3.262,25 	 3.533,28 
TU CANAL ANAL			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
TU DE CABEÇA DE PANCREAS	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
TU DE FACE E TRONCO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
TU DE MEDIASTINO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
TU DE ORELHA			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
TU DE OVÁRIO			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
TU DE OVÁRIO 	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
TU DE PALPEBRA INFERIOR + RECONSTRUÇÃO			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
TU DE PELE EM FACE 			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
TU DE PENIS (AMPUTAÇÃO)					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
TU EM FACE + TRONCO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
TUMOR BILIAR	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
TUMOR DE PARÓTIDA	 677,59 	 923,99 	 225,86 	 308,00 			 903,45 	 1.231,99 	 1.457,85 
TUMOR DE PARÓTIDA ESQUERDO			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
TUMOR DE PELE	 353,41 	 618,83 	 325,21 	 721,96 			 678,62 	 1.340,79 	 1.666,00 
TUMOR DE SEIO MAXILAR SINUSOTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
TUMOR EM COURO CABELUDO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
TUMOR GLOMICO			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
TUMOR GLÔMICO  RECIDIVADO			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
TUMORAÇÃO CERVICAL A DIREITA	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
TURBINECTOMIA 	 348,35 	 1.182,76 					 348,35 	 1.182,76 	 1.182,76 
UNHA ENCRAVADA + EX. DE LESÃO EM OMBRO	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
URETEROCISTONEOSTOMIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
URETEROENTEROSTOMIA	 353,41 	 618,83 	 353,41 	 618,83 			 706,82 	 1.237,66 	 1.591,08 
URETEROLITOTOMIA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
URETEROSTOMIA BILATERAL + POSTECTOMIA			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
URETROPLASTIA	 2.572,80 	 5.849,66 	 542,07 	 983,93 	 225,86 	 308,00 	 3.340,73 	 7.141,59 	 7.683,65 
URETROTOMIA	 2.466,42 	 5.290,19 	 1.286,80 	 2.120,60 			 3.753,21 	 7.410,78 	 8.697,58 
URETROTOMIA INTERNA + CISTOLITOTOMIA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
VARICECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
VARICOCELE	 624,45 	 1.110,80 	 1.524,51 	 2.541,87 			 2.148,96 	 3.652,67 	 5.177,18 
VASECTOMIA	 7.118,06 	 16.199,07 	 6.410,94 	 12.516,92 	 1.910,77 	 3.725,38 	 15.439,78 	 32.441,36 	 38.852,31 
VERRUGAS	 225,86 	 308,00 	 272,97 	 532,20 			 498,83 	 840,19 	 1.113,16 
VESÍCULA POR VÍDEO	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
VÍDEO ARTROSCOPIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
VIDEOLAPAROSCOPIA	 2.754,42 	 5.388,87 	 271,03 	 491,96 			 3.025,45 	 5.880,83 	 6.151,87 
VIDEOTORACOSCOPIA	 551,07 	 1.029,96 					 551,07 	 1.029,96 	 1.029,96 
WHIPPLE	 1.381,99 	 1.576,89 					 1.381,99 	 1.576,89 	 1.576,89 
ABAULAMENTO 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
ACALASIA	 2.160,27 	 5.145,63 	 772,02 	 2.555,14 			 2.932,29 	 7.700,77 	 8.472,79 
ADENOMASTECTOMIA + PESQUISA DE LINFONODO SENTINELA + RECONSTRUÇÃO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
ADENOMASTECTOMIA + RECONSTRUÇÃO + BLS 	 706,82 	 1.237,66 					 706,82 	 1.237,66 	 1.237,66 
ADRENALECTOMIA	 696,71 	 2.365,52 	 694,71 	 1.864,34 			 1.391,41 	 4.229,86 	 4.924,57 
AMIGDALECTOMIA + ADENOIDECTOMIA  + TURBINECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
ANOPLASTIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
BLOQUEIO	 61.012,67 	 139.406,46 	 24.099,05 	 55.395,80 	 4.047,48 	 8.219,70 	 89.159,20 	 203.021,96 	 227.121,02 
CARCINOMA BASOCELULAR	 6.336,56 	 12.250,00 	 7.479,65 	 14.151,75 	 771,86 	 1.833,34 	 14.588,07 	 28.235,09 	 35.714,74 
CERVICOTOMIA + TIREOIDECTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
CIRURGIA BARIÁTRICA 	 2.446,21 	 4.814,29 					 2.446,21 	 4.814,29 	 4.814,29 
CISTECTOMIA	 813,10 	 1.475,89 	 136,52 	 496,58 			 949,62 	 1.972,47 	 2.108,99 
CISTECTOMIA + LINFADENECTOMIA			 542,07 	 983,93 			 542,07 	 983,93 	 1.526,00 
CISTO	 3.015,49 	 5.138,58 	 3.186,64 	 5.718,38 	 771,80 	 1.372,39 	 6.973,92 	 12.229,35 	 15.415,98 
COLECISTECTOMIA + HISTERECTOMIA			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
COLEDOCOTOMIA COM COLECISTECTOMIA	 624,45 	 1.110,80 					 624,45 	 1.110,80 	 1.110,80 
COLELITIASE + HERNIA 	 544,07 	 1.485,11 			 136,52 	 496,58 	 680,58 	 1.981,69 	 1.981,69 
COLPOCLEISE	 482,87 	 1.178,15 	 271,03 	 491,96 			 753,90 	 1.670,12 	 1.941,15 
COLPOPERINEOPLASTIA  + HISTERECTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
CORREÇÃO DE FRATURA EM RÁDIO DISTAL			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
CORREÇÃO DE PÊNIS CURTO CONGÊNITO 	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
CRIPTORQUIDIA + FIMOSE	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
DACRIOCISTORINOSTOMIA + SEPTOPLASTIA + TURBINECTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
DEDO EM GATILHO	 1.086,07 	 2.008,09 	 211,84 	 686,19 			 1.297,90 	 2.694,28 	 2.906,11 
DERIVACAO VENTRICULAR 			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
DERMOLIPECTOMIA 	 1.439,58 	 2.948,17 	 271,03 	 491,96 			 1.710,62 	 3.440,13 	 3.711,16 
ENDARTERECTOMIA DE CARÓTIDA	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
EXCISÃO DE GLANDULA SALIVAR	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXCISÃO DE LESAO	 4.172,03 	 9.223,08 	 560,19 	 1.868,95 			 4.732,22 	 11.092,03 	 11.652,22 
EXCISAO DE RANULA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
EXCISÃO DE TUMOR	 407,55 	 988,54 					 407,55 	 988,54 	 988,54 
EXCISÃO E ENXERTO DE PELE	 1.567,00 	 3.146,01 					 1.567,00 	 3.146,01 	 3.146,01 
EXCISÃO E SUTURA DE HEMANGIOMA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXCISÃO E SUTURA DE LESÃO	 5.208,05 	 15.433,91 	 1.384,39 	 4.152,90 			 6.592,44 	 19.586,81 	 20.971,20 
EXERESE  DE LIPOMA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXERESE DE CRAVO PLANTAR			 407,55 	 988,54 			 407,55 	 988,54 	 1.396,09 
EXERESE DE GÂNGLIO LINFÁTICO 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
EXERESE DE GLANDULA	 808,08 	 1.900,11 					 808,08 	 1.900,11 	 1.900,11 
EXERESE DE NEUROMA 	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
EXERESE DE TUMOR	 16.798,18 	 38.047,18 	 10.225,75 	 21.157,42 	 682,45 	 1.560,97 	 27.706,38 	 60.765,57 	 70.991,32 
EXERESE MAMA	 225,86 	 308,00 			 272,97 	 532,20 	 498,83 	 840,19 	 840,19 
EXTIRPAÇÃO DE BÓCIO	 760,96 	 1.607,37 					 760,96 	 1.607,37 	 1.607,37 
EXTIRPAÇÃO DE LESÃO	 815,10 	 1.977,08 	 542,07 	 983,93 			 1.357,17 	 2.961,01 	 3.503,08 
EXTIRPAÇÃO DE LESÃO DE PELE	 813,10 	 1.475,89 					 813,10 	 1.475,89 	 1.475,89 
EXTIRPACAO DE TUMOR 	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
EXTIRPAÇÃO E SUPRESSÃO DE LESÃO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
FARINGOPLASTIA + AMIGDALECTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
FECHAMENTO DE COLOSTOMIA 	 546,07 	 1.986,30 					 546,07 	 1.986,30 	 1.986,30 
FECHAMENTO DE FISTULA	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
FIMOSE + HERNIA 	 1.084,13 	 1.967,86 					 1.084,13 	 1.967,86 	 1.967,86 
FISTULA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
FISTULA RETO-VAGINAL	 2.276,47 	 5.053,73 					 2.276,47 	 5.053,73 	 5.053,73 
FISTULA VESICO-VAGINAL	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
FISTULECTOMIA / FISTULOTOMIA	 13.787,39 	 29.198,44 	 2.607,97 	 6.533,69 	 272,97 	 532,20 	 16.668,33 	 36.264,33 	 38.872,30 
GASTROPLASTIA 	 755,90 	 2.171,30 	 136,52 	 496,58 	 136,52 	 496,58 	 1.028,94 	 3.164,45 	 3.300,97 
GASTRORRAFIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
HALUX VALGO + DEDOS EM GARRA	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
HERNIA 	 2.198,51 	 4.194,06 	 897,48 	 2.103,95 			 3.095,99 	 6.298,01 	 7.195,49 
HIPERTROFIA DE PEQUENOS LÁBIOS	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
HISTERECTOMIA + COLPOPERINEOPLASTIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
HISTERECTOMIA + EXERESE DE SEPTO VAGINAL 			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
HISTERECTOMIA+ COLPOPERINEOPLASTIA	 136,52 	 496,58 	 271,03 	 491,96 			 407,55 	 988,54 	 1.259,57 
INCONTINÊNCIA URINARIA	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
INCONTINÊNCIA URINÁRIA	 813,10 	 1.475,89 					 813,10 	 1.475,89 	 1.475,89 
INSTALAÇÃO DE CATETER DUPLO J	 1.357,21 	 2.821,30 	 949,62 	 1.972,47 			 2.306,82 	 4.793,77 	 5.743,38 
INSTALAÇÃO ENDOSCÓPICA DE CATÉTER DUPLO J	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
INSUFICIENCIA ARTERIAL COM ISQUEMIA 			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
LARINGECTOMIA	 706,82 	 1.237,66 	 312,20 	 1.231,02 			 1.019,02 	 2.468,68 	 2.780,88 
LARINGECTOMIA 	 3.208,42 	 7.489,09 	 1.285,93 	 3.502,48 			 4.494,35 	 10.991,57 	 12.277,50 
LINFADENECTOMIA 	 7.209,39 	 15.954,94 	 2.008,68 	 4.541,90 	 225,86 	 308,00 	 9.443,93 	 20.804,84 	 22.813,51 
MASTECTOMIA + BLS + RECONSTRUÇÃO + MAMOPLASTIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MASTECTOMIA + LINFADENECTOMIA + RECONSTRUÇÃO + MAMOPLASTIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
MASTECTOMIA + PESQUISA DE LINFONODO SENTINELA	 1.088,13 	 2.970,23 					 1.088,13 	 2.970,23 	 2.970,23 
MASTECTOMIA + PLS + RECONSTRUÇÃO IMEDIATA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MASTECTOMIA + RECONSTRUÇÃO + LINFADENECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MASTECTOMIA + RECONSTRUCAO + RGD	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
MASTECTOMIA +RECONSTRUÇÃO	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
MASTECTOMIA POUPADORA DE PELE + LS + RECONSTRUÇÃO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MASTECTOMIA POUPADORA DE PELE + LS + RECONSTRUÇÃO)	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MASTECTOMIA+ LINFADENECTOMIA + CORREÇÃO CIR. PLÁSTICA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
MEATOTOMIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
MEDIASTINOSTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
MEGAESOFAGO	 3.042,13 	 5.060,45 	 1.189,20 	 1.871,28 			 4.231,33 	 6.931,74 	 8.120,94 
NEFRECTOMA	 16.819,76 	 38.492,06 	 3.653,76 	 7.072,09 	 546,00 	 1.525,35 	 21.019,52 	 47.089,50 	 50.743,27 
NEUROFIBROMATOSE 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
NEUROLISE DO NERVO	 271,03 	 491,96 	 271,03 	 491,96 			 542,07 	 983,93 	 1.254,96 
NEUROTOMIA PERCUTANEA DE NERVOS PERIFERICOS	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
OSTEOMA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
OSTEOTECTOMIA	 813,10 	 1.475,89 					 813,10 	 1.475,89 	 1.475,89 
PANCREATECTOMIA 	 2.061,99 	 3.697,49 					 2.061,99 	 3.697,49 	 3.697,49 
PARATIREOIDECTOMIA 	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
PAROTIDECTOMIA 	 6.530,39 	 18.088,38 	 772,02 	 2.555,14 			 7.302,41 	 20.643,52 	 21.415,54 
PÉ TORTO	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
PIELOPLASTIA 	 1.192,49 	 2.427,85 					 1.192,49 	 2.427,85 	 2.427,85 
PLASTICA ANAL/ESFINCTEROPLASTIA ANAL	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
PLASTICA MAMARIA FEMININA NÃO ESTETETICA	 6.955,35 	 13.068,58 	 542,07 	 983,93 			 7.497,42 	 14.052,51 	 14.594,57 
PLÁSTICA MAMÁRIA FEMININA NÃO-ESTÉTICA 	 1.084,13 	 1.967,86 					 1.084,13 	 1.967,86 	 1.967,86 
PLÁSTICA MAMÁRIA MASCULINA 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLASTICA MAMARIA NÃO ESTETICA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
PLASTICA MAMARIA POS-MASTECTOMIA COM PROTESE	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLÁSTICA TOTAL DE PÊNIS	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PLICOMAS ANAIS CIRCUNFERENCIAIS + HEMORROIDAS	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
PLICOMAS ANAIS CIRCUNFERENCIAIS + HEMORROIDAS  GRAU IV P			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
POLEGAR EM GATILHO BILATERAL			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
POSTECTOMIA E FRENOTOMIA LINGUAL 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
PROCTOCOLECTOMIA 	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
PROCTOPEXIA ABDOMINAL	 650,42 	 1.443,92 					 650,42 	 1.443,92 	 1.443,92 
PROSTATECTOMIA 	 2.250,65 	 4.062,58 					 2.250,65 	 4.062,58 	 4.062,58 
PROSTATOVESICULECTOMIA 	 1.357,24 	 2.681,59 					 1.357,24 	 2.681,59 	 2.681,59 
PSEUDOARTROSE DE CLAVICULA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
QUADRANTE CENTRAL C/ MAMOPLASTIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
QUADRANTECTOMIA	 7.678,28 	 17.094,78 	 771,80 	 1.372,39 	 498,83 	 840,19 	 8.948,91 	 19.307,36 	 20.079,16 
QUADRANTECTOMIA  + MAMOPLASTIA  + BLS	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
QUADRANTECTOMIA  + SIMETRIZAÇÃO + BLS 	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
QUADRANTECTOMIA + AXILECTOMIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
QUADRANTECTOMIA + BIOPSIA DE LINFONODO SENTINELA	 211,84 	 686,19 	 211,84 	 686,19 			 423,67 	 1.372,37 	 1.584,21 
QUADRANTECTOMIA + ESVAZIAMENTO AXILAR	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
QUADRANTECTOMIA + ESVAZIAMENTO AXILAR 	 1.682,45 	 3.403,55 	 1.032,03 	 1.959,63 			 2.714,49 	 5.363,17 	 6.395,21 
QUADRANTECTOMIA + ESVAZIAMENTO GANGLIONAR	 1.521,92 	 3.214,74 					 1.521,92 	 3.214,74 	 3.214,74 
QUADRANTECTOMIA + LINFADENECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
QUADRANTECTOMIA COM MAMOPLASTIA DE MAMA DIREITA + BLS + MAMOPLASTIA DE MAMA ESQUERDA)	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
QUADRANTECTOMIA DE MAMA ESQUERDA COM MAMOPLASTIA + MAMOPLASTIA DIREITA + BLS	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
RECONSTRUÇÃO DE ÓRBITA 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RECONSTRUÇÃO DE POLIA TENDINOSA DE MAO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
RECONSTRUÇÃO LCA + M. MEDIAL ESQUERDO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RECONSTRUÇÃO LIGAMENTAR INTRA-ARTICULAR DO JOELHO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
RECONSTRUCAO TOTAL OU PARCIAL DE NARIZ	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
REMOCAO DE DENTE RETIDO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
REPARAÇÃO DE HERNIA SUPRA-UMBILICAL  	 706,82 	 1.237,66 					 706,82 	 1.237,66 	 1.237,66 
REPARO CIRÚRGICO DE ROTURA DO MANGUITO ROTADOR 	 4.722,19 	 9.249,79 	 273,03 	 993,15 			 4.995,22 	 10.242,95 	 10.515,98 
RESSECÇÃO + RECONSTRUÇÃO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO + RECONSTRUÇÃO 	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
RESSECÇÃO DE BARRA ÓSSEA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE CARUNCULA URETRAL	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE CONDILO MANDIBULAR	 353,41 	 618,83 	 353,41 	 618,83 			 706,82 	 1.237,66 	 1.591,08 
